Entry	Entry name	Protein names	Gene names	Gene ontology (GO)	Gene ontology (molecular function)
Q9BYP7	WNK3_HUMAN	Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)	WNK3 KIAA1566 PRKWNK3	adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; chloride channel inhibitor activity [GO:0019869]; potassium channel inhibitor activity [GO:0019870]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; ion homeostasis [GO:0050801]; negative regulation of apoptotic process [GO:0043066]; negative regulation of pancreatic juice secretion [GO:0090188]; negative regulation of sodium ion transport [GO:0010766]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; positive regulation of sodium ion transport [GO:0010765]; protein autophosphorylation [GO:0046777]; protein localization to plasma membrane [GO:0072659]; protein phosphorylation [GO:0006468]; regulation of calcium ion import [GO:0090279]	ATP binding [GO:0005524]; chloride channel inhibitor activity [GO:0019869]; potassium channel inhibitor activity [GO:0019870]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q8IV63	VRK3_HUMAN	Inactive serine/threonine-protein kinase VRK3 (Serine/threonine-protein pseudokinase VRK3) (Vaccinia-related kinase 3)	VRK3	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein phosphatase binding [GO:0019903]; protein serine/threonine kinase activity [GO:0004674]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]	ATP binding [GO:0005524]; protein phosphatase binding [GO:0019903]; protein serine/threonine kinase activity [GO:0004674]
P30530	UFO_HUMAN	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)	AXL UFO	actin cytoskeleton [GO:0015629]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; host cell surface [GO:0044228]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; myosin heavy chain binding [GO:0032036]; phosphatidylinositol 3-kinase binding [GO:0043548]; phosphatidylserine binding [GO:0001786]; protein heterodimerization activity [GO:0046982]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; virus receptor activity [GO:0001618]; animal organ regeneration [GO:0031100]; apoptotic cell clearance [GO:0043277]; blood vessel remodeling [GO:0001974]; cell maturation [GO:0048469]; cell migration [GO:0016477]; cellular response to extracellular stimulus [GO:0031668]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to interferon-alpha [GO:0035457]; cellular response to lipopolysaccharide [GO:0071222]; dendritic cell differentiation [GO:0097028]; erythrocyte homeostasis [GO:0034101]; forebrain cell migration [GO:0021885]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; natural killer cell differentiation [GO:0001779]; negative regulation of apoptotic process [GO:0043066]; negative regulation of dendritic cell apoptotic process [GO:2000669]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of lymphocyte activation [GO:0051250]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of tumor necrosis factor production [GO:0032720]; nervous system development [GO:0007399]; neuron migration [GO:0001764]; neutrophil clearance [GO:0097350]; ovulation cycle [GO:0042698]; phagocytosis [GO:0006909]; platelet activation [GO:0030168]; positive regulation of cytokine-mediated signaling pathway [GO:0001961]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of pinocytosis [GO:0048549]; positive regulation of protein kinase B signaling [GO:0051897]; protein kinase B signaling [GO:0043491]; secretion by cell [GO:0032940]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; substrate adhesion-dependent cell spreading [GO:0034446]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vagina development [GO:0060068]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; viral entry into host cell [GO:0046718]	ATP binding [GO:0005524]; myosin heavy chain binding [GO:0032036]; phosphatidylinositol 3-kinase binding [GO:0043548]; phosphatidylserine binding [GO:0001786]; protein heterodimerization activity [GO:0046982]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; virus receptor activity [GO:0001618]
P42681	TXK_HUMAN	Tyrosine-protein kinase TXK (EC 2.7.10.2) (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)	TXK PTK4 RLK	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region DNA binding [GO:0001012]; activation of phospholipase C activity [GO:0007202]; adaptive immune response [GO:0002250]; cytokine production [GO:0001816]; peptidyl-tyrosine autophosphorylation [GO:0038083]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interferon-gamma-mediated signaling pathway [GO:0060335]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of transcription by RNA polymerase II [GO:0006357]; T cell receptor signaling pathway [GO:0050852]	ATP binding [GO:0005524]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region DNA binding [GO:0001012]
P0C264	SBK3_HUMAN	Uncharacterized serine/threonine-protein kinase SBK3 (EC 2.7.11.1) (SH3-binding domain kinase family member 3) (Sugen kinase 110)	SBK3 SGK110	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q86Y07	VRK2_HUMAN	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	VRK2	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; cellular response to oxidative stress [GO:0034599]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of interleukin-1-mediated signaling pathway [GO:2000659]; regulation of MAPK cascade [GO:0043408]; viral process [GO:0016032]	ATP binding [GO:0005524]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]
Q9Y3S1	WNK2_HUMAN	Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)	WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; chloride channel inhibitor activity [GO:0019869]; potassium channel inhibitor activity [GO:0019870]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; ion homeostasis [GO:0050801]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of sodium ion transport [GO:0010766]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; chloride channel inhibitor activity [GO:0019869]; potassium channel inhibitor activity [GO:0019870]; protein serine/threonine kinase activity [GO:0004674]
Q96C45	ULK4_HUMAN	Serine/threonine-protein kinase ULK4 (EC 2.7.11.1) (Unc-51-like kinase 4)	ULK4	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; microtubule cytoskeleton organization [GO:0000226]; regulation of JNK cascade [GO:0046328]; regulation of MAPK cascade [GO:0043408]; regulation of neuron migration [GO:2001222]; regulation of neuron projection development [GO:0010975]; regulation of p38MAPK cascade [GO:1900744]; regulation of protein kinase C signaling [GO:0090036]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q53H12	AGK_HUMAN	Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)	AGK MULK	cytosol [GO:0005829]; integral component of mitochondrial inner membrane [GO:0031305]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]; acylglycerol kinase activity [GO:0047620]; ATP binding [GO:0005524]; ceramide kinase activity [GO:0001729]; diacylglycerol kinase activity [GO:0004143]; dihydroceramide kinase activity [GO:0102773]; NAD+ kinase activity [GO:0003951]; ceramide biosynthetic process [GO:0046513]; glycerophospholipid biosynthetic process [GO:0046474]; protein insertion into mitochondrial inner membrane [GO:0045039]	acylglycerol kinase activity [GO:0047620]; ATP binding [GO:0005524]; ceramide kinase activity [GO:0001729]; diacylglycerol kinase activity [GO:0004143]; dihydroceramide kinase activity [GO:0102773]; NAD+ kinase activity [GO:0003951]
Q96Q40	CDK15_HUMAN	Cyclin-dependent kinase 15 (EC 2.7.11.22) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)	CDK15 ALS2CR7 PFTK2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
Q16832	DDR2_HUMAN	Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)	DDR2 NTRKR3 TKT TYRO10	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; collagen binding [GO:0005518]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; biomineral tissue development [GO:0031214]; cell adhesion [GO:0007155]; chondrocyte proliferation [GO:0035988]; collagen fibril organization [GO:0030199]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; endochondral bone growth [GO:0003416]; extracellular matrix organization [GO:0030198]; ossification [GO:0001503]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of protein kinase activity [GO:0045860]; protein autophosphorylation [GO:0046777]; regulation of bone mineralization [GO:0030500]; regulation of extracellular matrix disassembly [GO:0010715]; regulation of tissue remodeling [GO:0034103]; signal transduction [GO:0007165]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ATP binding [GO:0005524]; collagen binding [GO:0005518]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
P54619	AAKG1_HUMAN	5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg)	PRKAG1	cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleotide-activated protein kinase complex [GO:0031588]; ADP binding [GO:0043531]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; cAMP-dependent protein kinase regulator activity [GO:0008603]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; cell cycle arrest [GO:0007050]; fatty acid biosynthetic process [GO:0006633]; import into nucleus [GO:0051170]; macroautophagy [GO:0016236]; positive regulation of gene expression [GO:0010628]; positive regulation of protein kinase activity [GO:0045860]; protein phosphorylation [GO:0006468]; regulation of glycolytic process [GO:0006110]; regulation of macroautophagy [GO:0016241]; regulation of signal transduction by p53 class mediator [GO:1901796]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]	ADP binding [GO:0043531]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; cAMP-dependent protein kinase regulator activity [GO:0008603]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]
Q00532	CDKL1_HUMAN	Cyclin-dependent kinase-like 1 (EC 2.7.11.22) (Protein kinase p42 KKIALRE) (Serine/threonine-protein kinase KKIALRE)	CDKL1	ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; heart development [GO:0007507]; protein phosphorylation [GO:0006468]; regulation of cilium assembly [GO:1902017]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]
